2025-12-04 17:32:39.761427 | student001 | ['Multiple faces detected']
2025-12-04 17:32:39.762424 | student001 | ['Multiple faces detected']
2025-12-04 17:32:40.490755 | student001 | ['Multiple faces detected']
2025-12-04 17:32:41.404608 | student001 | ['Multiple faces detected']
2025-12-04 17:32:41.620872 | student001 | ['Multiple faces detected']
2025-12-04 17:32:42.014203 | student001 | ['No face detected']
2025-12-04 17:32:42.966943 | student001 | ['No face detected']
2025-12-04 17:32:43.060370 | student001 | ['No face detected']
2025-12-04 17:32:43.060370 | student001 | ['No face detected']
2025-12-04 17:32:43.209037 | student001 | ['No face detected']
2025-12-04 17:32:43.313493 | student001 | ['No face detected']
2025-12-04 17:32:44.408268 | student001 | ['No face detected']
2025-12-04 17:32:44.561579 | student001 | ['No face detected']
2025-12-04 17:32:44.734477 | student001 | ['No face detected']
2025-12-04 17:32:44.734477 | student001 | ['No face detected']
2025-12-04 17:32:44.943816 | student001 | ['No face detected']
2025-12-04 17:32:44.943816 | student001 | ['No face detected']
2025-12-04 17:32:46.049080 | student001 | ['No face detected']
2025-12-04 17:32:46.049080 | student001 | ['No face detected']
2025-12-04 17:32:46.369449 | student001 | ['No face detected']
2025-12-04 17:32:46.468078 | student001 | ['No face detected']
2025-12-04 17:32:46.506776 | student001 | ['No face detected']
2025-12-04 17:32:46.703336 | student001 | ['No face detected']
2025-12-04 17:32:48.018405 | student001 | ['No face detected']
2025-12-04 17:32:48.121431 | student001 | ['No face detected']
2025-12-04 17:32:48.121431 | student001 | ['No face detected']
2025-12-04 17:32:48.308880 | student001 | ['No face detected']
2025-12-04 17:32:48.313829 | student001 | ['No face detected']
2025-12-04 17:32:48.318750 | student001 | ['No face detected']
2025-12-04 17:32:49.735745 | student001 | ['No face detected']
2025-12-04 17:32:49.842797 | student001 | ['No face detected']
2025-12-04 17:32:50.046913 | student001 | ['No face detected']
2025-12-04 17:32:50.047909 | student001 | ['No face detected']
2025-12-04 17:32:50.217111 | student001 | ['No face detected']
2025-12-04 17:32:50.772312 | student001 | ['No face detected']
2025-12-04 17:32:50.772312 | student001 | ['No face detected']
2025-12-04 17:32:50.772312 | student001 | ['No face detected']
2025-12-04 17:32:50.776863 | student001 | ['No face detected']
2025-12-04 17:32:51.009327 | student001 | ['No face detected']
2025-12-04 17:32:51.039689 | student001 | ['No face detected']
2025-12-04 17:32:51.039689 | student001 | ['No face detected']
2025-12-04 17:32:51.040148 | student001 | ['No face detected']
2025-12-04 17:32:51.039689 | student001 | ['No face detected']
2025-12-04 17:32:51.066792 | student001 | ['No face detected']
2025-12-04 17:32:51.350668 | student001 | ['No face detected']
2025-12-04 17:32:52.070360 | student001 | ['No face detected']
2025-12-04 17:32:52.119416 | student001 | ['No face detected']
2025-12-04 17:32:52.119416 | student001 | ['No face detected']
2025-12-04 17:32:53.417357 | student001 | ['No face detected']
2025-12-04 17:32:53.528621 | student001 | ['No face detected']
2025-12-04 17:32:55.881294 | student001 | ['No face detected']
2025-12-04 17:32:57.229727 | student001 | ['No face detected']
2025-12-04 17:32:57.663054 | student001 | ['No face detected']
2025-12-04 17:32:57.944001 | student001 | ['No face detected']
2025-12-04 17:33:01.113534 | student001 | ['Multiple faces detected']
2025-12-04 17:33:01.616495 | student001 | ['Multiple faces detected']
2025-12-04 17:33:02.133914 | student001 | ['Multiple faces detected']
2025-12-04 17:33:03.288649 | student001 | ['Multiple faces detected']
2025-12-04 17:33:03.949523 | student001 | ['Multiple faces detected']
2025-12-04 17:33:04.055740 | student001 | ['Multiple faces detected']
2025-12-04 17:33:04.536055 | student001 | ['Multiple faces detected']
2025-12-04 17:33:04.667340 | student001 | ['Multiple faces detected']
2025-12-04 17:33:05.563502 | student001 | ['Multiple faces detected']
